Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"2707/1 Australia Avenue, Sydney Olympic Park, NSW 2127",3,2,2,1,183,1150000
"2006/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,126,790000
"1602/7 Australia Avenue, Sydney Olympic Park",1,1,1,0,90,580000
"22607/2B Figtree Drive,Sydney Olympic Park NSW 2127",2,2,1,1,-,950000
"0602/11 Wattlebird Road,Sydney Olympic Park NSW 2127",1,1,1,0,-,685000
"20809/2B Figtree Drive, Sydney Olympic Park, NSW 2127",2,2,1,0,-,-
"1506/11 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,0,-,700000
"121/2a Betty Cuthbert Avenue, Sydney Olympic Park, NSW 2127",2,2,1,1,-,-
"357/1 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,840000
"307/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,562500
"1071/1 Australia Avenue, Sydney Olympic Park NSW 2127",2,2,1,0,-,850000
"704/1 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,0,-,575000
"1306/9 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,770000
"2604/1 Brushbox Street, Sydney Olympic Park, NSW 2127",2,2,1,1,105,-
"403/6 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,64,570000
"1401/7 Australian Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,510000
"2406/1 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,100,750000
"506/1 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,86,660000
"1807/7 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1220000
"2707/1 Australia Avenue, Sydney Olympic Park",3,2,2,1,183,1150000
"3704/3 Olympic Boulevarde, Sydney Olympic Park, NSW 2127",4,3,2,1,-,-
"807/7 Australia ave, Sydney Olympic Park",1,1,1,0,-,540000
"Unit 1103/7 Australia Ave,Sydney Olympic Park NSW 2127",2,2,1,1,-,650000
"205/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,63,530000
"505/9 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,530000
"605/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,576000
"2002/1 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,-,1040000
"506/8 Stockyard Boulevard, Sydney Olympic Park, NSW 2127",1,1,1,1,67,-
"22409/2B Figtree Drive, Sydney Olympic Park",2,2,1,1,109,-
"1205/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,492500
